QUOTEDATE,SpotDZYangDiPowder,SpotDZPB_Powder,SpotDZJinBubaPowder,SpotDZKaraLaraFinePowder,SpotDZKaraJagasPowder,SpotDZBaMixBRBF,SpotDZUltraSpecialPowder,PusiIndex62USD,SpotDiscountPort,BaseDZYangDiPowder,BaseDZUltraSpecialPowder,BaseDZPB_Powder,BaseDZJinBubaPowder,SwapJan,SwapMay,SwapSep,ImportProfitJan,ImportProfitMay,ImportProfitSep,RebarMineRatioSpot,RebarMineRatioJan,RebarMineRatioMay,RebarMineRatioOct,date
2022-06-14,844.0,960.0,869.0,1270.0,1154.0,1060.0,810.0,134.2,1061.0,129.0,117.0,121.0,119.0,130.56,125.63,121.15,-127.65,-174.23,-172.22,4.63,5.12,5.6,5.72,2023-11-16
2022-06-15,824.0,933.0,842.0,1248.0,1132.0,1033.0,795.0,130.85,1036.0,141.0,135.0,126.0,124.0,,,,,,,4.73,5.24,5.69,5.8,2023-11-16
2022-06-16,910.0,930.0,843.0,1243.0,1125.0,1020.0,790.0,129.5,1020.0,236.0,129.0,122.0,125.0,126.05,121.86,117.71,-132.2,-175.24,-170.07,4.71,5.19,5.63,5.73,2023-11-16
2022-06-17,881.0,889.0,800.0,1228.0,1095.0,979.0,770.0,122.15,962.0,250.0,154.0,123.0,125.0,118.41,114.61,110.75,-114.31,-158.99,-153.73,4.84,5.3,5.77,5.88,2023-11-16
2022-06-20,813.0,816.0,732.0,1175.0,1025.0,906.0,711.0,112.35,890.0,250.0,165.0,118.0,127.0,110.03,107.65,104.52,-124.08,-164.58,-158.41,4.93,5.56,5.99,6.05,2023-11-16
2022-06-21,802.0,814.0,735.0,1185.0,1014.0,901.0,720.0,115.9,914.0,235.0,172.0,113.0,127.0,113.55,111.22,108.83,-150.23,-191.55,-191.43,4.95,5.64,6.07,6.14,2023-11-16
2022-06-22,760.0,818.0,695.0,1184.0,970.0,863.0,672.0,109.4,868.0,228.0,159.0,157.0,123.0,107.13,104.83,102.51,-137.78,-160.4,-159.38,4.88,5.82,6.12,6.18,2023-11-16
2022-06-23,794.0,810.0,733.0,1200.0,980.0,900.0,684.0,116.05,918.0,226.0,132.0,108.0,124.0,114.86,112.29,109.86,-159.52,-184.03,-184.1,4.95,5.65,5.96,6.05,2023-11-16
2022-06-24,789.0,800.0,719.0,1200.0,980.0,890.0,685.0,115.0,909.0,234.0,147.0,111.0,123.0,113.0,110.6,108.14,-158.53,-183.34,-181.19,5.01,5.69,6.01,6.08,2023-11-16
2022-06-27,816.0,832.0,752.0,1215.0,1005.0,922.0,716.0,119.6,941.0,225.0,142.0,107.0,119.0,118.65,116.2,113.69,-161.3,-192.25,-194.75,4.86,5.51,5.85,5.94,2023-11-16
2022-06-28,841.0,867.0,784.0,1220.0,1019.0,957.0,732.0,125.0,983.0,218.0,125.0,111.0,120.0,123.02,120.51,117.92,-158.3,-200.84,-206.27,4.68,5.38,5.75,5.86,2023-11-16
2022-06-29,839.0,865.0,791.0,1220.0,1019.0,955.0,730.0,123.2,971.0,221.0,128.0,115.0,133.0,121.51,118.91,116.19,-153.49,-196.33,-198.76,4.73,5.43,5.81,5.92,2023-11-16
2022-06-30,839.0,851.0,776.0,1214.0,1000.0,941.0,725.0,,,234.0,135.0,112.0,129.0,,,,,,,4.81,5.53,5.89,6.0,2023-11-16
2022-07-01,799.0,808.0,738.0,1199.0,958.0,898.0,699.0,116.45,918.0,233.0,151.0,108.0,132.0,113.93,111.32,108.58,-154.53,-186.24,-185.96,5.02,5.71,6.06,6.16,2023-11-16
2022-07-04,768.0,780.0,745.0,1170.0,941.0,870.0,676.0,109.9,871.0,227.0,154.0,105.0,167.0,108.21,105.68,103.02,-136.08,-171.47,-167.37,5.1,5.76,6.21,6.3,2023-11-16
2022-07-05,787.0,801.0,738.0,1179.0,948.0,891.0,688.0,114.3,903.0,225.0,144.0,105.0,137.0,111.29,108.55,106.1,-138.97,-175.7,-176.13,4.99,5.67,6.11,6.21,2023-11-16
2022-07-06,784.0,804.0,738.0,1179.0,948.0,894.0,685.0,112.35,892.0,217.0,136.0,104.0,132.0,110.41,108.21,105.61,-126.74,-178.59,-177.91,4.96,5.62,6.16,6.3,2023-11-16
2022-07-07,797.0,815.0,752.0,1179.0,955.0,905.0,690.0,114.85,909.0,222.0,132.0,107.0,138.0,112.73,110.19,107.59,-138.11,-187.31,-183.55,4.89,5.5,6.03,6.09,2023-11-16
2022-07-08,783.0,815.0,760.0,1179.0,946.0,905.0,690.0,114.05,903.0,208.0,133.0,108.0,147.0,112.1,109.38,106.87,-133.02,-184.88,-182.84,4.9,5.55,6.05,6.13,2023-11-16
2022-07-11,774.0,793.0,743.0,1175.0,932.0,883.0,670.0,,,212.0,126.0,98.0,144.0,109.5,107.27,104.82,-127.24,-180.83,-179.75,4.86,5.46,5.96,6.04,2023-11-16
2022-07-12,747.0,757.0,714.0,1147.0,890.0,847.0,649.0,105.8,842.0,216.0,137.0,93.0,146.0,104.29,101.85,99.48,-120.11,-169.15,-166.71,5.03,5.53,6.04,6.12,2023-11-16
